level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1240	1754	-1	
2	1	1	0	0	0	108	30	1033	76	-1	
3	1	1	1	0	0	108	30	1033	76	-1	
4	1	1	1	1	0	108	30	1033	76	-1	
5	1	1	1	1	1	108	61	72	11	95.478676	TRIBUNAL
5	1	1	1	1	2	186	59	82	12	96.668411	JUDICIAIRE
5	1	1	1	1	3	274	59	19	11	96.731125	DE
5	1	1	1	1	4	298	58	82	11	93.290329	GRENOBLE
5	1	1	1	1	5	386	64	14	1	92.159485	—
5	1	1	1	1	6	406	57	73	11	93.909714	Information
5	1	1	1	1	7	485	56	9	11	95.534462	n°
5	1	1	1	1	8	503	56	10	11	41.974712	Ji
5	1	1	1	1	9	519	55	60	11	19.377022	26/0044
5	1	1	1	1	10	586	61	14	1	91.524773	—
5	1	1	1	1	11	605	55	37	13	96.662949	Copie
5	1	1	1	1	12	648	54	15	10	93.063339	de
5	1	1	1	1	13	669	54	11	10	93.063339	la
5	1	1	1	1	14	685	53	66	14	96.483353	procédure
5	1	1	1	1	15	905	51	34	13	96.608101	Page
5	1	1	1	1	16	944	50	36	11	93.628242	3/31
5	1	1	1	1	17	1008	30	133	76	72.981468	CD2)
2	1	2	0	0	0	826	109	305	136	-1	
3	1	2	1	0	0	826	109	305	136	-1	
4	1	2	1	1	0	1054	109	48	19	-1	
5	1	2	1	1	1	1054	109	48	19	23.361839	Ex
4	1	2	1	2	0	826	140	304	16	-1	
5	1	2	1	2	1	826	140	144	16	87.733528	PROCÈS-VERBAL
5	1	2	1	2	2	975	142	17	12	91.342896	N°
5	1	2	1	2	3	998	140	132	14	86.276352	2026/000233/002
4	1	2	1	3	0	980	162	150	14	-1	
5	1	2	1	3	1	980	163	49	13	92.825157	Affaire
5	1	2	1	3	2	1035	166	3	10	92.997429	:
5	1	2	1	3	3	1044	162	86	13	90.991356	GENTIANE
4	1	2	1	4	0	970	184	161	18	-1	
5	1	2	1	4	1	970	185	62	17	96.783249	Enquête
5	1	2	1	4	2	1038	185	18	13	93.042908	de
5	1	2	1	4	3	1061	184	70	16	88.535492	flagrance
4	1	2	1	5	0	934	207	197	18	-1	
5	1	2	1	5	1	934	209	17	13	90.678833	N°
5	1	2	1	5	2	957	210	57	15	86.131386	parquet
5	1	2	1	5	3	1020	211	3	10	86.131386	:
5	1	2	1	5	4	1029	207	102	14	75.978958	26.038.01152
4	1	2	1	6	0	879	226	252	19	-1	
5	1	2	1	6	1	879	232	56	13	93.240639	OBJET
5	1	2	1	6	2	941	235	3	9	93.036850	:
5	1	2	1	6	3	950	230	82	14	96.726311	AUDITION
5	1	2	1	6	4	1038	230	23	13	92.834869	DE
5	1	2	1	6	5	1066	226	65	16	91.885323	TÉMOIN
2	1	3	0	0	0	103	152	240	16	-1	
3	1	3	1	0	0	103	152	240	16	-1	
4	1	3	1	1	0	103	152	240	16	-1	
5	1	3	1	1	1	103	154	121	14	95.611931	RÉPUBLIQUE
5	1	3	1	1	2	236	152	107	15	95.611931	FRANÇAISE
2	1	4	0	0	0	104	174	325	36	-1	
3	1	4	1	0	0	104	174	325	36	-1	
4	1	4	1	1	0	104	174	165	14	-1	
5	1	4	1	1	1	104	175	62	13	96.282974	POLICE
5	1	4	1	1	2	172	174	97	13	96.530464	NATIONALE
4	1	4	1	2	0	104	192	325	18	-1	
5	1	4	1	2	1	104	197	39	13	93.100586	DIPN
5	1	4	1	2	2	149	197	18	13	91.030945	38
5	1	4	1	2	3	172	203	18	3	91.030945	—
5	1	4	1	2	4	195	193	68	16	91.501152	SÛRETÉ
5	1	4	1	2	5	269	192	160	16	95.743011	DÉPARTEMENTALE
2	1	5	0	0	0	104	215	453	18	-1	
3	1	5	1	0	0	104	215	453	18	-1	
4	1	5	1	1	0	104	215	453	18	-1	
5	1	5	1	1	1	104	220	73	13	96.074120	GROUPE
5	1	5	1	1	2	183	219	23	13	93.225533	DE
5	1	5	1	1	3	211	216	111	16	91.103195	RÉPRESSION
5	1	5	1	1	4	328	217	34	13	93.300629	DES
5	1	5	1	1	5	367	216	93	14	90.078148	ATTEINTES
5	1	5	1	1	6	465	216	35	12	96.993820	AUX
5	1	5	1	1	7	506	215	51	13	96.355453	BIENS
2	1	6	0	0	0	103	255	1029	18	-1	
3	1	6	1	0	0	103	255	1029	18	-1	
4	1	6	1	1	0	103	255	1029	18	-1	
5	1	6	1	1	1	103	255	1029	18	95.000000	 
2	1	7	0	0	0	331	280	573	30	-1	
3	1	7	1	0	0	331	280	573	30	-1	
4	1	7	1	1	0	331	280	573	30	-1	
5	1	7	1	1	1	331	285	239	25	90.482887	PROCÈS-VERBAL
5	1	7	1	1	2	581	286	159	21	91.154480	D'AUDITION
5	1	7	1	1	3	753	285	35	19	93.294685	DE
5	1	7	1	1	4	798	280	106	24	91.776321	TÉMOIN
2	1	8	0	0	0	106	340	1027	183	-1	
3	1	8	1	0	0	106	340	522	23	-1	
4	1	8	1	1	0	106	340	522	23	-1	
5	1	8	1	1	1	106	347	35	14	94.413803	L'an
