level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1240	1754	-1	
2	1	1	0	0	0	115	34	1034	76	-1	
3	1	1	1	0	0	115	34	1034	76	-1	
4	1	1	1	1	0	115	34	1034	76	-1	
5	1	1	1	1	1	115	56	73	11	95.601799	TRIBUNAL
5	1	1	1	1	2	193	56	82	11	95.601799	JUDICIAIRE
5	1	1	1	1	3	281	56	19	11	95.936958	DE
5	1	1	1	1	4	306	55	82	12	92.944244	GRENOBLE
5	1	1	1	1	5	393	62	15	1	91.877258	—
5	1	1	1	1	6	413	55	73	11	91.465172	Information
5	1	1	1	1	7	492	56	12	9	95.240028	n°
5	1	1	1	1	8	510	55	10	10	67.230476	31
5	1	1	1	1	9	526	55	61	11	26.655594	26/0044
5	1	1	1	1	10	593	61	13	1	93.091270	—
5	1	1	1	1	11	612	55	38	13	96.757477	Copie
5	1	1	1	1	12	655	54	16	11	89.270126	de
5	1	1	1	1	13	676	54	11	11	89.270126	la
5	1	1	1	1	14	692	54	67	13	96.607079	procédure
5	1	1	1	1	15	913	53	33	14	94.419769	Page
5	1	1	1	1	16	952	53	35	11	95.702415	6/31
5	1	1	1	1	17	1016	34	133	76	74.892715	CDs)
2	1	2	0	0	0	110	113	1027	116	-1	
3	1	2	1	0	0	110	113	1027	116	-1	
4	1	2	1	1	0	1061	113	48	19	-1	
5	1	2	1	1	1	1061	113	48	19	0.000000	F1
4	1	2	1	2	0	110	143	1026	21	-1	
5	1	2	1	2	1	110	150	121	14	95.591141	RÉPUBLIQUE
5	1	2	1	2	2	242	150	108	14	95.313423	FRANÇAISE
5	1	2	1	2	3	832	143	144	15	87.336288	PROCÈS-VERBAL
5	1	2	1	2	4	982	145	17	13	92.483391	N°
5	1	2	1	2	5	1005	144	131	14	91.297127	2026/000233/004
4	1	2	1	3	0	110	167	1026	17	-1	
5	1	2	1	3	1	110	171	62	12	96.781731	POLICE
5	1	2	1	3	2	178	170	97	14	96.619209	NATIONALE
5	1	2	1	3	3	987	167	48	13	92.503540	Affaire
5	1	2	1	3	4	1042	170	2	9	92.817322	:
5	1	2	1	3	5	1051	167	85	13	92.238686	GENTIANE
4	1	2	1	4	0	110	188	1027	18	-1	
5	1	2	1	4	1	110	193	39	13	92.604858	DIPN
5	1	2	1	4	2	155	193	41	12	92.847504	38
5	1	2	1	4	3	182	185	12	27	92.087036	—
5	1	2	1	4	4	201	189	68	16	86.657936	SÛRETÉ
5	1	2	1	4	5	275	189	161	16	96.235977	DÉPARTEMENTALE
5	1	2	1	4	6	982	189	62	16	96.342140	Enquête
5	1	2	1	4	7	1050	188	87	17	95.092880	préliminaire
4	1	2	1	5	0	110	212	1027	17	-1	
5	1	2	1	5	1	110	216	73	13	96.082603	GROUPE
5	1	2	1	5	2	189	216	23	12	93.287422	DE
5	1	2	1	5	3	217	212	111	16	93.039742	RÉPRESSION
5	1	2	1	5	4	334	215	34	13	93.047043	DES
5	1	2	1	5	5	373	215	92	13	91.762642	ATTEINTES
5	1	2	1	5	6	471	214	35	13	96.979095	AUX
5	1	2	1	5	7	512	214	51	13	95.504440	BIENS
5	1	2	1	5	8	939	212	18	13	95.755669	N°
5	1	2	1	5	9	963	214	57	14	92.392776	parquet
5	1	2	1	5	10	1026	215	2	9	92.392776	:
5	1	2	1	5	11	1035	212	102	12	92.657402	26.038.01152
2	1	3	0	0	0	823	231	314	19	-1	
3	1	3	1	0	0	823	231	314	19	-1	
4	1	3	1	1	0	823	231	314	19	-1	
5	1	3	1	1	1	823	235	56	12	93.275536	OBJET
5	1	3	1	1	2	885	238	3	9	92.823021	:
