level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1240	1754	-1	
2	1	1	0	0	0	124	39	1033	76	-1	
3	1	1	1	0	0	124	39	1033	76	-1	
4	1	1	1	1	0	124	39	1033	76	-1	
5	1	1	1	1	1	124	51	73	11	96.557220	TRIBUNAL
5	1	1	1	1	2	202	52	82	11	95.721657	JUDICIAIRE
5	1	1	1	1	3	290	52	19	11	95.721657	DE
5	1	1	1	1	4	315	52	82	12	93.288361	GRENOBLE
5	1	1	1	1	5	403	59	13	2	92.211922	—
5	1	1	1	1	6	422	53	73	11	81.402023	Information
5	1	1	1	1	7	501	56	6	8	90.108948	n°
5	1	1	1	1	8	519	54	10	10	72.094421	Ji
5	1	1	1	1	9	535	54	61	11	91.561394	26/00044
5	1	1	1	1	10	602	61	14	1	92.870789	—
5	1	1	1	1	11	621	55	38	13	96.632919	Copie
5	1	1	1	1	12	664	55	16	10	88.618614	de
5	1	1	1	1	13	685	55	11	10	88.618614	la
5	1	1	1	1	14	701	55	66	13	96.162239	procédure
5	1	1	1	1	15	913	56	33	14	94.341133	Page
5	1	1	1	1	16	953	56	43	12	94.341133	17/31
5	1	1	1	1	17	1024	39	133	76	60.222443	CD16)
2	1	2	0	0	0	117	117	1027	113	-1	
3	1	2	1	0	0	117	117	1027	113	-1	
4	1	2	1	1	0	1068	117	49	20	-1	
5	1	2	1	1	1	1068	117	49	20	0.000000	F1
4	1	2	1	2	0	118	143	1026	20	-1	
5	1	2	1	2	1	118	143	120	17	95.985359	RÉPUBLIQUE
5	1	2	1	2	2	250	146	107	14	95.214386	FRANÇAISE
5	1	2	1	2	3	841	146	144	16	88.225716	PROCÈS-VERBAL
5	1	2	1	2	4	990	149	18	13	92.739128	N°
5	1	2	1	2	5	1014	149	130	14	89.482841	2026/000233/011
4	1	2	1	3	0	118	166	1026	19	-1	
5	1	2	1	3	1	118	166	62	12	95.778183	POLICE
5	1	2	1	3	2	186	166	97	13	96.569366	NATIONALE
5	1	2	1	3	3	995	171	48	13	91.422577	Affaire
5	1	2	1	3	4	1049	175	3	9	91.422577	:
5	1	2	1	3	5	1058	172	86	13	91.975822	GENTIANE
4	1	2	1	4	0	117	185	1027	24	-1	
5	1	2	1	4	1	117	188	40	12	92.239410	DIPN
5	1	2	1	4	2	163	188	18	12	91.175278	38
5	1	2	1	4	3	185	194	18	3	90.542068	—
5	1	2	1	4	4	208	185	69	16	84.924179	SÛRETÉ
5	1	2	1	4	5	283	186	160	16	95.092415	DÉPARTEMENTALE
5	1	2	1	4	6	865	192	93	13	93.301224	Commission
5	1	2	1	4	7	964	193	67	16	91.492828	rogatoire
