level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1240	1754	-1	
2	1	1	0	0	0	112	51	872	18	-1	
3	1	1	1	0	0	112	51	872	18	-1	
4	1	1	1	1	0	112	51	872	18	-1	
5	1	1	1	1	1	112	58	72	11	95.730911	TRIBUNAL
5	1	1	1	1	2	190	57	82	12	96.131187	JUDICIAIRE
5	1	1	1	1	3	278	57	19	11	96.131187	DE
5	1	1	1	1	4	302	57	82	11	93.294983	GRENOBLE
5	1	1	1	1	5	390	63	13	1	91.517303	—
5	1	1	1	1	6	410	56	73	11	94.526451	Information
5	1	1	1	1	7	489	56	12	10	91.502151	n°
5	1	1	1	1	8	507	55	10	11	81.359589	Ji
5	1	1	1	1	9	523	55	61	11	84.656754	26/00044
5	1	1	1	1	10	590	61	13	1	92.434631	—
5	1	1	1	1	11	609	55	37	13	96.915352	Copie
5	1	1	1	1	12	652	54	16	11	95.036476	de
5	1	1	1	1	13	673	54	10	11	95.036476	la
5	1	1	1	1	14	689	54	66	14	64.835098	procédure
5	1	1	1	1	15	909	52	34	13	91.508301	Page
5	1	1	1	1	16	949	51	35	11	91.508301	1/31
2	1	2	0	0	0	106	142	1028	66	-1	
3	1	2	1	0	0	106	142	1028	66	-1	
4	1	2	1	1	0	107	142	1027	24	-1	
5	1	2	1	1	1	107	148	111	18	95.660568	RÉPUBLIQUE
5	1	2	1	1	2	224	149	98	17	95.660568	FRANÇAISE
5	1	2	1	1	3	930	144	18	13	78.492569	N°
5	1	2	1	1	4	954	143	76	13	93.126419	instruction
5	1	2	1	1	5	1037	146	2	10	93.045471	:
5	1	2	1	1	6	1045	143	12	13	69.136551	JI
5	1	2	1	1	7	1064	142	70	14	92.908890	26/00044
4	1	2	1	2	0	106	164	1028	22	-1	
5	1	2	1	2	1	106	172	88	14	96.152847	TRIBUNAL
5	1	2	1	2	2	198	172	96	13	96.503426	JUDICIAIRE
5	1	2	1	2	3	300	171	23	13	96.302612	DE
5	1	2	1	2	4	328	170	96	14	96.156364	GRENOBLE
5	1	2	1	2	5	936	166	18	12	93.126259	N°
5	1	2	1	2	6	960	166	57	16	88.837311	parquet
5	1	2	1	2	7	1023	168	3	10	88.019585	:
5	1	2	1	2	8	1032	164	102	14	88.019585	26.038.01152
4	1	2	1	3	0	107	193	246	15	-1	
5	1	2	1	3	1	107	194	76	14	93.249229	CABINET
5	1	2	1	3	2	188	193	132	14	91.834656	D'INSTRUCTION
5	1	2	1	3	3	326	193	27	13	96.907013	N°2
2	1	3	0	0	0	105	213	1030	11	-1	
3	1	3	1	0	0	105	213	1030	11	-1	
4	1	3	1	1	0	105	213	1030	11	-1	
5	1	3	1	1	1	105	213	1030	11	95.000000	 
2	1	4	0	0	0	406	236	429	30	-1	
3	1	4	1	0	0	406	236	429	30	-1	
4	1	4	1	1	0	406	236	429	30	-1	
5	1	4	1	1	1	406	244	102	22	96.829918	COPIE
5	1	4	1	1	2	520	244	43	21	95.589729	DE
5	1	4	1	1	3	575	243	44	22	96.589714	LA
5	1	4	1	1	4	628	236	207	28	95.573921	PROCÉDURE
2	1	5	0	0	0	111	296	1023	84	-1	
3	1	5	1	0	0	111	296	1023	84	-1	
4	1	5	1	1	0	112	296	1020	24	-1	
5	1	5	1	1	1	112	304	102	16	96.006462	Information
5	1	5	1	1	2	220	304	51	15	64.295395	suivie
5	1	5	1	1	3	277	306	54	12	93.231903	contre
5	1	5	1	1	4	337	302	111	16	91.085854	FONTANEL
5	1	5	1	1	5	454	300	74	19	93.258583	Yannick,
5	1	5	1	1	6	536	300	113	16	92.283600	MARTINON
5	1	5	1	1	7	656	300	51	15	95.590607	Lucas
5	1	5	1	1	8	714	302	14	13	96.876343	et
5	1	5	1	1	9	734	302	51	12	93.289452	autres
5	1	5	1	1	10	791	307	22	2	93.281006	—
5	1	5	1	1	11	818	298	35	16	96.209251	vols
5	1	5	1	1	12	860	302	20	11	96.209251	en
5	1	5	1	1	13	886	297	50	16	94.647728	bande
5	1	5	1	1	14	943	296	87	21	96.224403	organisée,
5	1	5	1	1	15	1036	296	96	16	96.024529	association
4	1	5	1	2	0	534	327	175	18	-1	
5	1	5	1	2	1	534	328	20	16	96.986908	de
5	1	5	1	2	2	561	328	100	17	93.303116	malfaiteurs,
5	1	5	1	2	3	669	327	40	16	92.848289	recel
4	1	5	1	3	0	111	352	1023	28	-1	
5	1	5	1	3	1	111	361	51	19	94.091713	Copie
5	1	5	1	3	2	168	359	69	16	96.920486	délivrée
5	1	5	1	3	3	243	358	61	20	95.616028	(article
5	1	5	1	3	4	312	359	29	15	89.444138	114
5	1	5	1	3	5	347	358	21	16	96.143440	du
5	1	5	1	3	6	374	358	44	19	94.918274	CPP)
5	1	5	1	3	7	425	357	8	16	96.860512	à
5	1	5	1	3	8	441	357	56	16	93.715927	Maître
5	1	5	1	3	9	503	356	61	16	93.288391	Olivier
5	1	5	1	3	10	569	356	89	18	92.305641	TERRAZ,
5	1	5	1	3	11	664	358	56	13	91.613403	avocat
5	1	5	1	3	12	726	355	20	15	96.597549	de
5	1	5	1	3	13	753	355	22	15	96.779823	M.
5	1	5	1	3	14	783	354	113	16	90.224533	MARTINON
5	1	5	1	3	15	904	354	50	15	93.253998	Lucas
5	1	5	1	3	16	960	362	22	2	91.923058	—
5	1	5	1	3	17	988	353	14	15	95.122307	le
5	1	5	1	3	18	1010	352	96	16	92.385239	15/04/2026
5	1	5	1	3	19	1112	361	22	2	91.262253	—
2	1	6	0	0	0	107	450	1030	12	-1	
3	1	6	1	0	0	107	450	1030	12	-1	
4	1	6	1	1	0	107	450	1030	12	-1	
5	1	6	1	1	1	107	450	1030	12	95.000000	 
2	1	7	0	0	0	108	477	1029	11	-1	
3	1	7	1	0	0	108	477	1029	11	-1	
4	1	7	1	1	0	108	477	1029	11	-1	
5	1	7	1	1	1	108	477	1029	11	95.000000	 
2	1	8	0	0	0	108	504	1029	11	-1	
3	1	8	1	0	0	108	504	1029	11	-1	
4	1	8	1	1	0	108	504	1029	11	-1	
5	1	8	1	1	1	108	504	1029	11	95.000000	 
2	1	9	0	0	0	108	529	1029	11	-1	
3	1	9	1	0	0	108	529	1029	11	-1	
4	1	9	1	1	0	108	529	1029	11	-1	
5	1	9	1	1	1	108	529	1029	11	95.000000	 
2	1	10	0	0	0	108	555	1030	11	-1	
3	1	10	1	0	0	108	555	1030	11	-1	
4	1	10	1	1	0	108	555	1030	11	-1	
5	1	10	1	1	1	108	555	1030	11	95.000000	 
2	1	11	0	0	0	108	581	1030	12	-1	
3	1	11	1	0	0	108	581	1030	12	-1	
4	1	11	1	1	0	108	581	1030	12	-1	
5	1	11	1	1	1	108	581	1030	12	95.000000	 
2	1	12	0	0	0	109	608	1029	12	-1	
3	1	12	1	0	0	109	608	1029	12	-1	
4	1	12	1	1	0	109	608	1029	12	-1	
5	1	12	1	1	1	109	608	1029	12	95.000000	 
2	1	13	0	0	0	109	636	1029	10	-1	
3	1	13	1	0	0	109	636	1029	10	-1	
4	1	13	1	1	0	109	636	1029	10	-1	
5	1	13	1	1	1	109	636	1029	10	95.000000	 
2	1	14	0	0	0	109	661	1030	12	-1	
3	1	14	1	0	0	109	661	1030	12	-1	
4	1	14	1	1	0	109	661	1030	12	-1	
5	1	14	1	1	1	109	661	1030	12	95.000000	 
2	1	15	0	0	0	109	687	1030	11	-1	
3	1	15	1	0	0	109	687	1030	11	-1	
4	1	15	1	1	0	109	687	1030	11	-1	
5	1	15	1	1	1	109	687	1030	11	95.000000	 
2	1	16	0	0	0	110	714	1029	10	-1	
3	1	16	1	0	0	110	714	1029	10	-1	
4	1	16	1	1	0	110	714	1029	10	-1	
5	1	16	1	1	1	110	714	1029	10	95.000000	 
2	1	17	0	0	0	110	740	1029	11	-1	
3	1	17	1	0	0	110	740	1029	11	-1	
4	1	17	1	1	0	110	740	1029	11	-1	
5	1	17	1	1	1	110	740	1029	11	95.000000	 
2	1	18	0	0	0	110	766	1030	11	-1	
3	1	18	1	0	0	110	766	1030	11	-1	
4	1	18	1	1	0	110	766	1030	11	-1	
5	1	18	1	1	1	110	766	1030	11	95.000000	 
2	1	19	0	0	0	110	792	1030	12	-1	
3	1	19	1	0	0	110	792	1030	12	-1	
4	1	19	1	1	0	110	792	1030	12	-1	
5	1	19	1	1	1	110	792	1030	12	95.000000	 
2	1	20	0	0	0	111	817	1029	12	-1	
3	1	20	1	0	0	111	817	1029	12	-1	
4	1	20	1	1	0	111	817	1029	12	-1	
5	1	20	1	1	1	111	817	1029	12	95.000000	 
2	1	21	0	0	0	111	845	1029	11	-1	
3	1	21	1	0	0	111	845	1029	11	-1	
4	1	21	1	1	0	111	845	1029	11	-1	
5	1	21	1	1	1	111	845	1029	11	95.000000	 
2	1	22	0	0	0	111	872	1029	10	-1	
3	1	22	1	0	0	111	872	1029	10	-1	
4	1	22	1	1	0	111	872	1029	10	-1	
5	1	22	1	1	1	111	872	1029	10	95.000000	 
2	1	23	0	0	0	111	896	1030	13	-1	
3	1	23	1	0	0	111	896	1030	13	-1	
4	1	23	1	1	0	111	896	1030	13	-1	
5	1	23	1	1	1	111	896	1030	13	95.000000	 
2	1	24	0	0	0	111	924	1030	11	-1	
3	1	24	1	0	0	111	924	1030	11	-1	
4	1	24	1	1	0	111	924	1030	11	-1	
5	1	24	1	1	1	111	924	1030	11	95.000000	 
2	1	25	0	0	0	111	950	1030	12	-1	
3	1	25	1	0	0	111	950	1030	12	-1	
4	1	25	1	1	0	111	950	1030	12	-1	
5	1	25	1	1	1	111	950	1030	12	95.000000	 
2	1	26	0	0	0	112	976	1029	11	-1	
3	1	26	1	0	0	112	976	1029	11	-1	
