level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1240	1754	-1	
2	1	1	0	0	0	121	53	872	16	-1	
3	1	1	1	0	0	121	39	1035	73	-1	
4	1	1	1	1	0	121	53	872	16	-1	
5	1	1	1	1	1	121	53	73	11	96.278221	TRIBUNAL
5	1	1	1	1	2	200	53	82	11	93.276489	JUDICIAIRE
5	1	1	1	1	3	288	53	19	11	95.826157	DE
5	1	1	1	1	4	312	54	82	10	93.127975	GRENOBLE
5	1	1	1	1	5	400	60	13	1	92.673050	—
5	1	1	1	1	6	420	54	73	11	91.501740	Information
5	1	1	1	1	7	499	56	6	8	86.873314	n°
5	1	1	1	1	8	517	54	10	11	52.905270	J1
5	1	1	1	1	9	533	54	60	11	89.365013	26/00044
5	1	1	1	1	10	600	61	12	1	92.943146	—
5	1	1	1	1	11	619	55	37	13	96.672211	Copie
5	1	1	1	1	12	662	55	15	10	95.471146	de
5	1	1	1	1	13	683	55	10	10	95.471146	la
5	1	1	1	1	14	699	55	66	13	96.852249	procédure
5	1	1	1	1	15	911	56	33	13	84.586288	Pagé
5	1	1	1	1	16	950	56	43	10	87.210632	27/31
2	1	2	0	0	0	115	116	1028	112	-1	
3	1	2	1	0	0	115	116	1028	112	-1	
4	1	2	1	1	0	1066	116	49	20	-1	
5	1	2	1	1	1	1066	116	49	20	0.000000	F1
4	1	2	1	2	0	115	145	1028	16	-1	
5	1	2	1	2	1	115	147	121	14	95.933044	RÉPUBLIQUE
5	1	2	1	2	2	248	147	108	14	96.015945	FRANÇAISE
5	1	2	1	2	3	838	145	144	15	84.726608	PROCÈS-VERBAL
5	1	2	1	2	4	987	148	18	12	92.125755	N°
5	1	2	1	2	5	1011	148	132	13	91.136864	2026/000233/020
4	1	2	1	3	0	115	167	1027	16	-1	
5	1	2	1	3	1	115	167	63	13	96.104469	POLICE
5	1	2	1	3	2	184	167	97	13	96.484238	NATIONALE
5	1	2	1	3	3	992	170	49	13	56.313675	Affaire
5	1	2	1	3	4	1048	173	2	10	92.391754	:
5	1	2	1	3	5	1056	170	86	13	92.242004	GENTIANE
4	1	2	1	4	0	115	186	1027	22	-1	
5	1	2	1	4	1	115	189	40	13	92.107224	DIPN
5	1	2	1	4	2	161	189	18	13	90.562119	38
5	1	2	1	4	3	184	196	17	2	90.562119	—
5	1	2	1	4	4	206	186	69	16	88.924843	SÛRETÉ
5	1	2	1	4	5	281	187	159	16	96.282166	DÉPARTEMENTALE
5	1	2	1	4	6	864	192	92	13	93.300545	Commission
5	1	2	1	4	7	962	193	66	15	89.796844	rogatoire
5	1	2	1	4	8	1034	192	18	13	96.578140	du
5	1	2	1	4	9	1058	192	84	13	96.769615	20/02/2026
4	1	2	1	5	0	115	209	1027	19	-1	
5	1	2	1	5	1	115	212	73	13	96.100334	GROUPE
5	1	2	1	5	2	194	212	23	13	93.280746	DE
5	1	2	1	5	3	223	209	110	16	90.429855	RÉPRESSION
5	1	2	1	5	4	339	213	34	12	93.224716	DES
5	1	2	1	5	5	378	213	93	13	91.811874	ATTEINTES
5	1	2	1	5	6	476	213	35	13	96.902458	AUX
5	1	2	1	5	7	517	213	51	13	96.472229	BIENS
5	1	2	1	5	8	965	215	83	13	93.264038	Information
5	1	2	1	5	9	1054	215	12	13	82.888519	J1
5	1	2	1	5	10	1072	215	70	13	91.164490	26/00044
2	1	3	0	0	0	862	234	280	16	-1	
3	1	3	1	0	0	862	234	280	16	-1	
4	1	3	1	1	0	862	234	280	16	-1	
5	1	3	1	1	1	862	237	57	12	93.287422	OBJET
