level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1240	1754	-1	
2	1	1	0	0	0	112	32	1034	76	-1	
3	1	1	1	0	0	112	32	1034	76	-1	
4	1	1	1	1	0	112	32	1034	76	-1	
5	1	1	1	1	1	112	58	73	11	92.163422	TRIBUNAL
5	1	1	1	1	2	191	57	82	11	96.435684	JUDICIAIRE
5	1	1	1	1	3	279	57	18	11	96.917030	DE
5	1	1	1	1	4	303	56	82	12	93.216103	GRENOBLE
5	1	1	1	1	5	391	62	13	2	93.110474	—
5	1	1	1	1	6	411	56	73	11	90.874771	Information
5	1	1	1	1	7	489	56	13	10	93.435844	n°
5	1	1	1	1	8	508	56	10	10	26.486069	91
5	1	1	1	1	9	524	55	60	11	85.743042	26/00044
5	1	1	1	1	10	590	61	15	1	93.114899	—
5	1	1	1	1	11	610	55	37	12	95.365189	Copie
5	1	1	1	1	12	653	54	15	11	95.612091	de
5	1	1	1	1	13	674	54	10	11	90.754173	la
5	1	1	1	1	14	690	54	66	14	95.667747	procédure
5	1	1	1	1	15	910	52	33	14	94.817406	Page
5	1	1	1	1	16	950	52	35	11	94.817406	7/31
5	1	1	1	1	17	1013	32	133	76	50.588898	CD6)
2	1	2	0	0	0	107	111	1028	119	-1	
3	1	2	1	0	0	107	111	1028	119	-1	
4	1	2	1	1	0	1058	111	49	20	-1	
5	1	2	1	1	1	1058	111	49	20	0.000000	Pw1
4	1	2	1	2	0	107	142	1028	23	-1	
5	1	2	1	2	1	107	150	122	15	96.157356	RÉPUBLIQUE
5	1	2	1	2	2	240	151	108	14	96.328163	FRANÇAISE
5	1	2	1	2	3	830	142	144	16	86.104919	PROCÈS-VERBAL
5	1	2	1	2	4	979	144	18	12	91.045151	N°
5	1	2	1	2	5	1002	143	133	13	83.609474	2026/000233/005
4	1	2	1	3	0	108	165	1027	20	-1	
5	1	2	1	3	1	108	172	62	13	96.132462	POLICE
5	1	2	1	3	2	176	171	97	14	96.241371	NATIONALE
5	1	2	1	3	3	985	165	48	14	93.078384	Affaire
5	1	2	1	3	4	1040	169	2	9	92.697098	:
5	1	2	1	3	5	1048	165	87	13	92.272629	GENTIANE
4	1	2	1	4	0	108	187	1027	20	-1	
5	1	2	1	4	1	108	194	39	13	92.389130	DIPN
5	1	2	1	4	2	153	194	19	13	93.077682	38
5	1	2	1	4	3	176	200	18	3	92.098503	—
5	1	2	1	4	4	199	190	68	16	82.151070	SÛRETÉ
5	1	2	1	4	5	273	190	160	16	95.907104	DÉPARTEMENTALE
5	1	2	1	4	6	980	187	62	17	96.230148	Enquête
5	1	2	1	4	7	1048	187	87	16	93.724930	préliminaire
4	1	2	1	5	0	108	210	1027	20	-1	
5	1	2	1	5	1	108	217	73	13	95.952469	GROUPE
5	1	2	1	5	2	187	217	23	13	93.275200	DE
5	1	2	1	5	3	215	214	110	15	93.114311	RÉPRESSION
5	1	2	1	5	4	332	216	34	12	92.314384	DES
5	1	2	1	5	5	371	215	92	13	92.030853	ATTEINTES
5	1	2	1	5	6	469	215	35	13	96.875999	AUX
5	1	2	1	5	7	510	214	50	13	96.886932	BIENS
5	1	2	1	5	8	938	211	17	13	92.555023	N°
5	1	2	1	5	9	961	212	57	15	93.289337	parquet
5	1	2	1	5	10	1024	213	2	10	79.369713	:
5	1	2	1	5	11	1033	210	102	13	79.369713	26.038.01152
2	1	3	0	0	0	821	229	314	20	-1	
3	1	3	1	0	0	821	229	314	20	-1	
4	1	3	1	1	0	821	229	314	20	-1	
5	1	3	1	1	1	821	234	56	13	93.263222	OBJET
5	1	3	1	1	2	883	237	4	9	93.250023	:
5	1	3	1	1	3	893	230	110	19	90.014191	RÉQUISITION
5	1	3	1	1	4	1008	239	17	3	90.014191	—
5	1	3	1	1	5	1030	229	105	16	91.119225	OPÉRATEUR
2	1	4	0	0	0	106	259	1030	10	-1	
3	1	4	1	0	0	106	259	1030	10	-1	
4	1	4	1	1	0	106	259	1030	10	-1	
5	1	4	1	1	1	106	259	1030	10	95.000000	 
2	1	5	0	0	0	448	284	348	28	-1	
3	1	5	1	0	0	448	284	348	28	-1	
4	1	5	1	1	0	448	284	348	28	-1	
5	1	5	1	1	1	448	284	179	28	91.742241	RÉQUISITION
5	1	5	1	1	2	638	286	158	20	95.839417	JUDICIAIRE
2	1	6	0	0	0	109	339	717	93	-1	
3	1	6	1	0	0	109	339	717	93	-1	
4	1	6	1	1	0	109	339	642	22	-1	
5	1	6	1	1	1	109	344	35	14	96.879646	L'an
5	1	6	1	1	2	151	343	43	15	96.093239	deux
5	1	6	1	1	3	199	342	40	15	93.956299	mille
5	1	6	1	1	4	246	342	75	19	95.624252	vingt-six,
5	1	6	1	1	5	329	342	14	15	94.531380	le
5	1	6	1	1	6	350	341	64	15	93.273254	dix-huit
5	1	6	1	1	7	419	340	57	18	96.774117	février,
5	1	6	1	1	8	484	340	11	15	96.734299	à
5	1	6	1	1	9	501	344	41	11	96.734299	onze
5	1	6	1	1	10	549	340	59	15	96.819351	heures
5	1	6	1	1	11	615	339	57	19	96.410645	quinze
5	1	6	1	1	12	678	339	73	16	94.908295	minutes,
4	1	6	1	2	0	110	374	716	22	-1	
5	1	6	1	2	1	110	380	49	16	95.064400	Nous,
5	1	6	1	2	2	166	379	56	15	93.304520	Julien
5	1	6	1	2	3	229	378	106	17	91.798637	SARRAZIN,
5	1	6	1	2	4	342	377	83	19	96.318321	Capitaine
5	1	6	1	2	5	431	377	21	15	96.859665	de
5	1	6	1	2	6	459	376	55	20	96.924194	police,
5	1	6	1	2	7	521	376	58	15	91.580124	officier
5	1	6	1	2	8	585	376	21	15	94.369820	de
5	1	6	1	2	9	613	375	50	19	94.369820	police
5	1	6	1	2	10	668	374	79	20	93.293602	judiciaire
5	1	6	1	2	11	753	374	73	19	91.837112	(GRAB),
4	1	6	1	3	0	109	411	292	21	-1	
5	1	6	1	3	1	109	413	75	19	87.647491	Agissant
5	1	6	1	3	2	191	416	21	12	96.419235	en
5	1	6	1	3	3	218	412	71	19	96.612480	enquête
5	1	6	1	3	4	296	411	105	20	96.439339	préliminaire,
2	1	7	0	0	0	109	445	1028	119	-1	
3	1	7	1	0	0	109	445	537	20	-1	
4	1	7	1	1	0	109	445	537	20	-1	
5	1	7	1	1	1	109	450	23	14	75.110596	Vu
5	1	7	1	1	2	139	449	24	15	75.110596	les
5	1	7	1	1	3	169	448	62	16	93.239006	articles
5	1	7	1	1	4	238	448	56	15	92.917480	77-1-1
5	1	7	1	1	5	300	449	16	14	92.417580	et
5	1	7	1	1	6	322	448	56	15	92.417580	60-1-2
5	1	7	1	1	7	385	447	20	15	97.004486	du
5	1	7	1	1	8	412	447	42	15	96.542557	code
5	1	7	1	1	9	461	447	21	15	96.991249	de
5	1	7	1	1	10	489	446	87	19	96.264206	procédure
5	1	7	1	1	11	583	445	63	20	96.073593	pénale,
3	1	7	2	0	0	109	476	1027	53	-1	
4	1	7	2	1	0	109	476	1027	27	-1	
